id,request_id,city,uf,neighborhood,latitude,longitude
7242287,5922381,Belém,PA,Pedreira,-1.4287403,-48.4693781
7242299,5922392,Guarulhos,SP,Jardim Presidente Dutra,-23.4164225,-46.4357634
7242495,5922565,Juiz de Fora,MG,Serra D'Água,-21.7623368,-43.3830425
7242515,5922583,São Paulo,SP,Chácara Inglesa,-23.6076803,-46.630472
7242611,5922661,São Paulo,SP,Brás,-23.5382353,-46.6008328
7242619,5922669,Rio de Janeiro,RJ,Jacarepaguá,-22.9701295,-43.3858923
7242627,5922675,São Paulo,SP,Jardim Ingá,-23.6326789,-46.7455806
7242663,5922704,Rio de Janeiro,RJ,Pavuna,-22.8203893,-43.3605801
7242767,5922791,São Paulo,SP,Vila da Paz,-23.6907961,-46.6965434
7242787,5922808,Campinas,SP,Cambuí,-22.8940962,-47.0584345
7242847,5922852,São Paulo,SP,Cidade Nova Heliópolis,-23.6079805,-46.5916517
7243111,5923069,São Paulo,SP,Vila Paulista II,-23.5759873,-46.4053047
7243195,5923142,Goiânia,GO,Vila Maria Luiza,-16.6874975,-49.2176313
7243551,5923461,Campo Grande,MS,Jardim Tijuca,-20.514339,-54.6616046
7243807,5923685,Luziânia,GO,Parque Estrela Dalva IX,-16.1489076,-47.9529641
7243823,5923700,Rio de Janeiro,RJ,Mangueira,-22.9060352,-43.2392391
7243871,5923745,São Paulo,SP,Vila Antonieta,-23.5669184,-46.51268
7244083,5923935,Curitiba,PR,Bacacheri,-25.3977996,-49.2345857
7244299,5924122,Taubaté,SP,Parque São Luís,-23.0007887,-45.5548386
7244391,5924204,Goiânia,GO,Vila Redenção,-16.7141835,-49.2430601
7244419,5924228,São Paulo,SP,Vila São Silvestre (Zona Leste),-23.4981233,-46.4467986
7244423,5924232,São Paulo,SP,Vila Alpina,-23.6004449,-46.5570677
7244519,5924312,São Paulo,SP,Bosque da Saúde,-23.6011702,-46.6318394
7244527,5924319,Niterói,RJ,Santa Rosa,-22.9048507,-43.0916846
7244539,5924329,Curitiba,PR,Boqueirão,-25.5179848,-49.2247465
7244551,5924340,Florianópolis,SC,São João do Rio Vermelho,-27.4839392,-48.4112683
7244583,5924370,Rio de Janeiro,RJ,,-22.8854380322447,-43.3645424991846
7244659,5924431,Contagem,MG,Linda Vista,-19.9098031,-44.0668275
7244703,5924464,Rio de Janeiro,RJ,Urca,-22.9464847,-43.1610673
7244747,5924503,São Paulo,SP,Vila Butantã,-23.5700663,-46.7449563
7244811,5924560,Campinas,SP,Jardim Bela Vista,-22.8765261,-47.0416514
7244943,5924670,Guarulhos,SP,Jardim Cumbica,-23.4499502,-46.4708387
7244963,5924686,Porto Alegre,RS,Tristeza,-30.1110891,-51.2446638
