data	loja	gtin	preco
2018-12-17	AMERICANAS - 204	7898216290161	69.99
2018-12-17	AMIGAO-188783	7891010038953	11.65
2018-12-17	AMOEDO_21017	7899453504424	12.90
2018-12-17	ASSAI_16006	7891350002409	6.59
2018-12-17	ASSAI_16006	7894904597383	12.40
2018-12-17	ASSAI-670018	7891024113950	2.09
2018-12-17	ASSAI_71067	7891962012735	7.47
2018-12-17	ASSAI ZONA SUL	7897395020231	6.19
2018-12-17	ATACADAO_16004	7896462300412	15.90
2018-12-17	ATACADAO_16014	7891515742034	7.99
2018-12-17	ATACADAO_19021	7894900061604	3.69
2018-12-17	ATACADAO_21067	7894900708394	6.19
2018-12-17	ATACADAO_44002	7891035617959	12.90
2018-12-17	ATACADAO_44002	7898918330066	3.29
2018-12-17	ATACADAO_62029	7896098900710	7.14
2018-12-17	ATACADAO_67009	7894904002450	4.99
2018-12-17	ATACADAO_71001	7898253588801	4.49
2018-12-17	ATACADAO_81022	7898215151784	2.49
2018-12-17	ATACADAO_81062	7891164004224	46.90
2018-12-17	ATACADAO_81062	7893000079298	11.90
2018-12-17	ATACADAO_81062	7896085391064	1.29
2018-12-17	ATACADAO_84018	7896051114024	2.59
2018-12-17	ATACADAO-850053	7898215152002	3.29
2018-12-17	ATACADAO_85017	7898403780291	3.89
2018-12-17	ATACADAO_88003	7896004002767	26.90
2018-12-17	ATACADAO_91001	7891000102626	2.29
2018-12-17	ATACADAO DIA A DIA_61042	7891149440603	2.09
2018-12-17	ATACADAO DIA A DIA_61042	7892840252946	2.79
2018-12-17	ATACADAO ZONA SUL	7891150034952	1.02
2018-12-17	ATACADAO ZONA SUL	7896292305489	3.29
2018-12-17	ATACADAO ZONA SUL	7896914001607	6.60
2018-12-17	BAHAMAS_32001	7804320303178	49.90
2018-12-17	BAKLISI_55005	7891000120101	8.19
2018-12-17	BELTRAME_55024	7897740601221	2.78
2018-12-17	BERGAMINI-110799	7896038022588	12.98
2018-12-17	BIG_51001	7891010880590	41.90
2018-12-17	BIG_51001	7896931614132	9.90
2018-12-17	BIG BOX_61040	7791293032467	13.99
2018-12-17	BIG BOX_61040	7896020631064	45.90
2018-12-17	BOM_PRECO-810155	7891010875596	12.50
2018-12-17	BRETAS_34002	7891149104932	2.95
2018-12-17	CARREFOUR-110817	7891000379103	5.39
2018-12-17	CARREFOUR_11173	7622210696328	0.99
2018-12-17	CARREFOUR_11173	7891025699880	5.89
2018-12-17	CARREFOUR-120063	7896109801005	1.79
2018-12-17	CARREFOUR-150031	7896050421031	10.98
2018-12-17	CARREFOUR_18013	7896098900987	11.99
2018-12-17	CARREFOUR_45	7897395040307	2.13
2018-12-17	CARREFOUR_460	7892840813130	1.35
2018-12-17	CARREFOUR_51029	7892840812386	3.99
2018-12-17	CARREFOUR_56	7891024132371	4.69
2018-12-17	CARREFOUR_56	7896007544042	10.79
2018-12-17	CARREFOUR-610088	7894000030470	4.29
2018-12-17	CARREFOUR-610088	7896005216811	5.19
2018-12-17	CARREFOUR-610100	7894900321753	4.69
2018-12-17	CARREFOUR-620080	7312040017034	84.90
2018-12-17	CARREFOUR_67007	7891035249006	7.49
2018-12-17	CARREFOUR-810100	7894904727476	13.19
2018-12-17	CARREFOUR_84032	7622300830151	2.69
2018-12-17	COMERCIAL_CARVALHO-860020	7891048014196	8.29
2018-12-17	COMERCIAL_CARVALHO-860020	7896423470703	4.10
2018-12-17	CONDOR-410243	7891000100448	21.19
2018-12-17	CONDOR-410243	7894900701517	6.19
2018-12-17	CONDOR_41040	7892840232344	5.79
2018-12-17	CONDOR_41040	7896273900122	2.67
2018-12-17	CONDOR_41041	7891000250624	12.48
2018-12-17	CONDOR_41044	7790240017045	42.90
2018-12-17	CONDOR_41044	7891156020218	2.57
2018-12-17	CONDOR_47005	7622210762894	1.09
2018-12-17	CONDOR_47005	7891022857870	8.34
2018-12-17	CONDOR_47005	7891150045255	7.49
2018-12-17	COOPER_47006	7891141001086	23.90
2018-12-17	DB_92016	4005900308719	73.12
2018-12-17	DELTA_19011	7506339363883	1.79
2018-12-17	DICICO_19001	7894200768661	94.90
2018-12-17	DICICO_19001	7894200778493	416.00
2018-12-17	DROGARIA PACHECO_62021	7894916512077	139.00
2018-12-17	DROGARIA_PAGUE_MENOS-310059	7891045043564	12.99
2018-12-17	DROGARIA_PAGUE_MENOS-310059	7896658026119	80.00
2018-12-17	DROGARIA_PAGUE_MENOS-310059	7898392800185	105.00
2018-12-17	DROGARIA_PAGUE_MENOS-310066	7896020160083	10.99
2018-12-17	DROGARIA_PAGUE_MENOS-610081	7897211100246	20.09
2018-12-17	DROGARIA_PAGUE_MENOS-710106	4005900122186	14.39
2018-12-17	DROGARIA_PAGUE_MENOS-810118	7896523200576	9.99
2018-12-17	DROGARIA SAO PAULO_11071	4005500073727	38.90
2018-12-17	EXTRA-110788	7891962000022	16.98
2018-12-17	EXTRA_11102	7891141025495	15.36
2018-12-17	EXTRA_138	2001942010001	20.89
2018-12-17	EXTRA_138	7891962027357	21.98
2018-12-17	EXTRA-170027	7891962055343	12.99
2018-12-17	EXTRA_31007	2102964010007	36.25
2018-12-17	EXTRA_420	7896000583321	4.55
2018-12-17	EXTRA_515	2112006010001	31.99
2018-12-17	EXTRA_515	7891050000125	40.13
2018-12-17	EXTRA_515	7896065815016	15.25
2018-12-17	EXTRA_543	7896283000409	23.90
2018-12-17	EXTRA_61002	7894904015108	13.19
2018-12-17	EXTRA_67002	7896048258014	6.69
2018-12-17	EXTRA_67002	7896048258014	6.69
2018-12-17	EXTRA_82013	7896029075708	90.90
2018-12-17	EXTRA_82013	7896050427422	10.98
2018-12-17	EXTRA_83028	7892840126216	4.59
2018-12-17	EXTRA_86012	7896116900050	5.25
2018-12-17	EXTRA_86012	7897517209025	1.99
2018-12-17	EXTRA PONTA NEGRA	7896029074640	69.90
2018-12-17	EXTRA PONTA NEGRA	7897398309272	35.99
2018-12-17	EXTRA SUPERMERCADO_198	7891022101003	2.09
2018-12-17	FAVORITO PONTA NEGRA	7896213002787	4.09
2018-12-17	G_BARBOSA-710130	7898932426042	1.09
2018-12-17	G BARBOSA_71024	7893500020615	2.99
2018-12-17	GUANABARA_21007	7891143017429	5.25
2018-12-17	HIPER_BOM_PRECO-810104	7891150000971	5.99
2018-12-17	HIPER BOM PRECO_85003	7898924935040	52.98
2018-12-17	IQUEGAME-170023	7896046400361	13.98
2018-12-17	IQUEGAME-170023	7898930672335	6.40
2018-12-17	KRILL_13003	7896025802490	1.39
2018-12-17	KRILL_13003	7896584300352	2.77
2018-12-17	KUCHACK_55019	7896023082634	26.10
2018-12-17	LARANJAO_17010	7891000110874	2.49
2018-12-17	LEROY_MERLIN-110774	7896039704414	7.99
2018-12-17	LEROY_MERLIN-110774	7898270972270	147.90
2018-12-17	LEROY MERLIN_21015	7898404486819	1017.90
2018-12-17	MAKRO_51024	7622300830151	2.25
2018-12-17	MAKRO ZONA SUL	7896260700216	7.35
2018-12-17	MARTENDAL-490014	7896018703063	6.49
2018-12-17	MILLER_51038	7891150024571	27.80
2018-12-17	MILLER_51038	7891991012126	3.99
2018-12-17	MUFFATO_18003	7891150031081	22.99
2018-12-17	MUFFATO_18003	7891962055589	24.79
2018-12-17	MUFFATO_18003	7898229860986	11.79
2018-12-17	MUFFATO_45001	7896064206204	30.99
2018-12-17	NISSEI-410084	7891010589639	20.95
2018-12-17	NISSEI _41029	7891010517601	70.90
2018-12-17	NISSEI _41029	7891033718580	56.90
2018-12-17	NISSEI _41029	7899706135580	79.90
2018-12-17	NORDESTAO_84004	7506339363883	2.09
2018-12-17	NORDESTAO_84004	7891150020689	30.59
2018-12-17	NORDESTAO_84004	7896266100430	8.49
2018-12-17	PAO DE ACUCAR_12013	7896381502300	2.66
2018-12-17	PAO DE ACUCAR_61006	7898920195196	3.29
2018-12-17	PONTO_ECONOMICO-870027	7891000244449	12.99
2018-12-17	PONTO_ECONOMICO-870027	7894900701715	4.49
2018-12-17	REDE ECONOMICA_67027	7894900093056	5.50
2018-12-17	RENDE MAIS_81051	7898366930740	1.59
2018-12-17	RENDE MAIS_81063	7891080803673	3.99
2018-12-17	RONDON_18005	7891150042230	6.98
2018-12-17	RONDON_18005	7891150058873	2.18
2018-12-17	ROSARIO-610102	7896094904330	19.35
2018-12-17	SAO JOAO_35003	7891000538500	6.98
2018-12-17	SAO VICENTE_11187	7891107101621	3.39
2018-12-17	SAVEGNAGO-160032	7896331100051	11.90
2018-12-17	SAVEGNAGO_16025	7896003702590	5.98
2018-12-17	SEMPRE VALE_19043	7896006744115	4.49
2018-12-17	SHIBATA_12027	7898192030676	1.97
2018-12-17	SODIMAC_12019	7895194187414	12.90
2018-12-17	SODIMAC_12019	7896985193591	3853.00
2018-12-17	SODIMAC_12019	7897432701239	44.90
2018-12-17	SODIMAC_12019	7898032314829	6.90
2018-12-17	SONDA_347	7898024397151	18.29
2018-12-17	STOCK-180026	7891024170335	7.85
2018-12-17	SUPER BH_31003	7893000084315	2.68
2018-12-17	ULTRABOX_61041	7891025110668	2.79
2018-12-17	ULTRABOX_61041	7891149040308	4.29
2018-12-17	ULTRABOX_61041	7896116900029	3.48
2018-12-17	UNICOMPRA_82019	7892840812423	2.99
2018-12-17	VENCEDOR_16013	7891038106504	12.99
2018-12-17	VENCEDOR_17008	7896263501391	1.59
2018-12-17	WALMART_11150	7896034300703	35.00
2018-12-17	WALMART_18002	4005808555260	18.88
2018-12-17	WALMART_18002	7893000436725	7.88
2018-12-17	WALMART_379	3700123302360	1.49
2018-12-17	WALMART_379	7891149104468	2.99
2018-12-17	WALMART_431	7891991013024	7.49
2018-12-17	WALMART_62004	7798108620017	34.90
2018-12-18	ASSAI_71067	7896260710840	2.25
2018-12-18	ASSAI ZONA SUL	7897395020231	6.19
2018-12-18	ATACADAO-110758	7891035321313	12.50
2018-12-18	ATACADAO-165771	7891025110941	1.69
2018-12-18	ATACADAO_17004	7896317105292	3.49
2018-12-18	ATACADAO ZONA SUL	7891150034952	1.02
2018-12-18	ATACADAO ZONA SUL	7896292305489	3.29
2018-12-18	BAKLISI_55005	7891000120101	8.19
2018-12-18	BELTRAME_55024	7897740601221	2.78
2018-12-18	BEM_BARATO-112737	7891991010023	1.49
2018-12-18	BOAS_COMPRAS_JABOATAO-870010	7891150037397	7.99
2018-12-18	BONANZA-810125	7894900530001	1.09
